aleaf,awood,aroot,tleaf,twood,troot,location,scenario
0.0012931036405000001,0.0,0.003430562626166667,0.019348584972752287,0.0,0.010550205153458647,silves,hist
0.0003577575293125,0.0,0.0044931920206875,0.0361897971031574,0.0,0.015669437685196557,silves,hist
0.00034753089466666673,0.0,0.0004100296386666667,0.0038821579871911676,0.0,0.002985860189210556,silves,hist
8.867237758333334e-05,0.0,0.0016415203557500002,0.010780757598255229,0.0,0.01169308698071671,silves,hist
0.0012733434452083332,0.0,0.000453223938125,0.014352151163436494,0.0,0.0035430945977513936,silves,hist
0.0022495887182708333,0.0,0.00040088399839583334,0.005439043766585571,0.0,0.008087020394702537,silves,hist
0.0005075277813333336,0.0,0.0005362311520000002,0.0037168458164731017,0.0,0.0010592980739395966,silves,hist
0.000409013101,0.0,0.0009103839989999999,0.005188447739346366,0.0,0.0047973213872505365,silves,hist
0.0014113032813541666,0.0,0.0014326328019791665,0.009420610818716046,0.0,0.006216892878883327,silves,hist
0.0002422891797916667,0.0,0.0034149059868750003,0.013035380809523388,0.0,0.02156231074069234,silves,hist
0.000228977091,0.0,7.837470899999999e-05,0.0019081043791513701,0.0,0.0022078498542496645,silves,hist
0.00028704240175,0.0,0.0041289945482500005,0.011906027118344407,0.0,0.016146299664630645,silves,hist
0.0006784803214999999,0.0,0.001611748611833333,0.011435264229606732,0.0,0.004955345976933789,silves,hist
0.0012430395260416664,0.0,0.00015756839062499998,0.006479015997262272,0.0,0.007301129993555476,silves,hist
0.0007596873123124999,0.0,0.0006569790043541666,0.00668730772037678,0.0,0.007501719221801803,silves,hist
0.00027778502062500004,0.0,0.001838672279375,0.0065290615578251264,0.0,0.011243326397801139,silves,hist
0.003199484215125,0.0,0.0020671564682083333,0.030336968183967934,0.0,0.014576820399437997,silves,hist
0.000305354471625,0.0,0.000453290178375,0.0020318230780837247,0.0,0.0027759418921865426,silves,hist
0.00017414888599999996,0.0,0.00042636451399999994,0.0030825259825955956,0.0,0.001542455603810269,silves,hist
0.001935931943166667,0.0,0.0006626344235000001,0.007950648309499505,0.0,0.0022874257558392914,silves,hist
0.00180091227675,0.0,0.0013447860232500002,0.006271212100845509,0.0,0.007740614728187118,silves,hist
