aleaf,awood,aroot,tleaf,twood,troot,location,scenario
0.0012835105462500004,0.0,0.0034051124537500007,0.01920504442933848,0.0,0.010471936784842168,belem,rcp26
0.00035460773810416666,0.0,0.0044536327785625,0.03587117262873769,0.0,0.015531479842198239,belem,rcp26
0.0003145876595833334,0.0,0.0003711620070833334,0.0035141595008253874,0.0,0.0027028237868398403,belem,rcp26
8.01801765625e-05,0.0,0.0014843110734374999,0.009748278677802013,0.0,0.01057323378741517,belem,rcp26
0.001240481723541667,0.0,0.0004415273931250001,0.013981759028757066,0.0,0.0034516564323859404,belem,rcp26
0.0021828916657916663,0.0,0.0003889983675416666,0.005277783984035058,0.0,0.00784725193423472,belem,rcp26
0.0005397614153958334,0.0,0.0005702877679375001,0.003952906683131829,0.0,0.0011265752314358365,belem,rcp26
0.0003964312601666667,0.0,0.0008823792564999999,0.005028843503029927,0.0,0.004649748769226421,belem,rcp26
0.0013658991605416664,0.0,0.0013865424727916664,0.009117533119265003,0.0,0.006016884447612379,belem,rcp26
0.00023469333904166666,0.0,0.0033078476276249993,0.01262671758803787,0.0,0.020886325627658627,belem,rcp26
0.000217462371,0.0,7.4433429e-05,0.0018121502923877217,0.0,0.0020968222716967635,belem,rcp26
0.0002818265222500001,0.0,0.004053966127750001,0.011689681371533443,0.0,0.015852903452404993,belem,rcp26
0.0006362524761874998,0.0,0.0015114352071458328,0.010723546359989199,0.0,0.00464693086635069,belem,rcp26
0.0011976247310416667,0.0,0.000151811585625,0.006242303344805939,0.0,0.007034381177464685,belem,rcp26
0.0007225475131875001,0.0,0.0006248604368125001,0.006360376808939249,0.0,0.007134973140257057,belem,rcp26
0.000262392414375,0.0,0.0017367878856249998,0.006167273605704827,0.0,0.010620311896183305,belem,rcp26
0.0031571757483750003,0.0,0.002039821368291667,0.029935806458074855,0.0,0.014384063417461063,belem,rcp26
0.0003021627137083334,0.0,0.00044855210295833344,0.002010585179191241,0.0,0.002746925993177624,belem,rcp26
0.00016487729599999997,0.0,0.0004036651039999999,0.0029184140107568926,0.0,0.0014603361238629139,belem,rcp26
0.0019777636435000003,0.0,0.0006769526565000001,0.008122446258653998,0.0,0.002336852549529414,belem,rcp26
0.0017446751246666665,0.0,0.001302792342,0.0060753807362559226,0.0,0.007498898275194122,belem,rcp26
0.0006503229135,0.0,0.0010171717365,0.0037310085584524016,0.0,0.013247641198159769,belem,rcp26
0.003866551426562499,0.0,0.0007989706567708332,0.007177150904924296,0.0,0.030873613351408966,belem,rcp26
0.0003016995293333334,0.0,0.003469544587333334,0.024176835342053036,0.0,0.027851582880277795,belem,rcp26
