"","location","scenario","aleaf_s","awood_s","aroot_s","tleaf_s","twood_s","troot_s"
"1","belem","hist",0.0531725452638478,0,0.105938144279277,0.0625059079432556,0,0.0270586196906783
"2","belem","hist",0.0147110166546558,0,0.138752878167467,0.116911713350081,0,0.0401881684902829
"3","belem","hist",0.0142904963827458,0,0.012661987327109,0.0125413679564851,0,0.00765797013444062
"4","belem","hist",0.00364620744900175,0,0.0506912761602947,0.034827404443226,0,0.0299898252239561
"5","belem","hist",0.0523600039944253,0,0.0139958573005169,0.0463648485318046,0,0.00908713677502531
"6","belem","hist",0.0925033103602492,0,0.0123795636022695,0.0175709123917969,0,0.0207411679453184
"7","belem","hist",0.0208695848723521,0,0.016559177728272,0.0120073243424135,0,0.00271682101665826
"8","belem","hist",0.0168186510514423,0,0.0281132775594271,0.0167613579138811,0,0.0123039142385233
"9","belem","hist",0.05803292669264,0,0.0442406833902388,0.0304334284966414,0,0.0159447594352139
"10","belem","hist",0.00996294620732863,0,0.105454656381625,0.0421110008226404,0,0.0553019113945812
"11","belem","hist",0.00941555174255798,0,0.0024202527055803,0.00616415617208178,0,0.00566256855888493
"12","belem","hist",0.0118032033122827,0,0.127506207218583,0.0384626056428876,0,0.0414111999878442
"13","belem","hist",0.0278991709643781,0,0.049771904026369,0.0369417985941374,0,0.0127092077173643
"14","belem","hist",0.0511139037112695,0,0.00486580860827792,0.0209305593324437,0,0.0187255559743775
"15","belem","hist",0.031238410806233,0,0.0202879552898593,0.0216034490786135,0,0.0192400170863913
"16","belem","hist",0.0114225388451655,0,0.0567794645189617,0.0210922323170469,0,0.0288363020181009
"17","belem","hist",0.131563111209387,0,0.0638352149931011,0.0980040558257172,0,0.0373858789119682
"18","belem","hist",0.0125561975151416,0,0.0139979028454526,0.00656383140965848,0,0.00711958229844775
"19","belem","hist",0.00716101029530603,0,0.0131664196248827,0.0099581439639226,0,0.00395599902371391
"20","belem","hist",0.0796057114021268,0,0.0204625985617786,0.0256846910772381,0,0.00586666080840009
"21","belem","hist",0.0740536887865677,0,0.0415279138378473,0.0202592455182308,0,0.0198527242040396
"22","belem","hist",0.02808001537279,0,0.0329833998401817,0.0126564583251616,0,0.0356777603251903
"23","belem","hist",0.155371726331371,0,0.0241108040457796,0.0226578084338049,0,0.0773795792679522
"24","belem","hist",0.0126522200989919,0,0.109269192167768,0.0796543629254549,0,0.0728505772345286
"25","belem","hist",0.044071584743311,0,0.00268354632579429,0.00674952224345767,0,0.00506195991463299
"26","belem","hist",0.00235162452188803,0,0.00480528246600925,0.00292821384976229,0,8.0094807612692e-05
"27","belem","hist",0.0263624709404711,0,0.00441970208747441,0.0185349302503165,0,0.00791546402189883
"28","belem","hist",0.157427520907049,0,0.0494705041590408,0.0340769671141292,0,0.0124471974594332
"29","belem","hist",0.0224828707423539,0,0.0293741624379088,0.0231348983641615,0,0.00275904500930106
"30","belem","hist",0.0302182440125554,0,0.059828408654861,0.0688262778574452,0,0.0152839404732345
"31","belem","hist",0.0179146562999292,0,0.0220675995560471,0.0229905044291206,0,0.0160735621505118
"32","belem","hist",0.132816530501686,0,0.00622568325391853,0.021314463592414,0,0.00835874727845476
"33","belem","hist",0.0384299078990928,0,0.0483580459724154,0.00173802695826386,0,0.0411254045631588
"34","belem","hist",0.0150630518196126,0,0.02232996864815,0.00545835861198671,0,0.0118598461765819
"35","belem","hist",0.107344598002525,0,0.081832830127674,0.100913542173802,0,0.00737047186373748
"36","belem","hist",0.0162990737959208,0,0.050935897434574,0.0154435925397845,0,0.0388568837745399
"37","belem","hist",0.0249778572778967,0,0.0322842894066466,0.0141064316582185,0,0.0332413313399028
"38","belem","hist",0.031223894864966,0,0.155208516773511,0.0427985370124063,0,0.0822424462325569
"39","belem","hist",0.023527922200015,0,0.0181164977770782,0.031115208353691,0,0.019787404406005
"40","belem","hist",0.00467385574476387,0,0.00992543897009027,0.00875144646021486,0,0.00369179870910072
"41","belem","hist",0.0586833083353782,0,0.0210984118068219,0.0247200230245066,0,0.0228055244407259
"42","belem","hist",0.00639836458228715,0,0.015642124454017,0.0136764655748259,0,0.0046184919795158
"43","belem","hist",0.0769689796081084,0,0.00468669832099405,0.0281186787874506,0,0.0161563552613042
"44","belem","hist",0.00687910395431705,0,0.00591402924283442,0.00652454303259194,0,0.0017666663513702
"45","belem","hist",0.00112454422801124,0,0.00518779211818909,0.00244720530567189,0,0.00374508347314557
"46","belem","hist",0.00195960665138802,0,0.00438564484807951,0.0037090894223869,0,0.000717947948353223
"47","belem","hist",0.0225192040611837,0,0.0193599775523292,0.00386632226923537,0,0.0110758843385463
"48","belem","hist",0.00444078220939822,0,0.00140387781443122,0.00312637379851343,0,0.00178328150385832
"49","belem","hist",0.0352887263469846,0,0.0391367435226932,0.00589252470546755,0,0.0364007686998709
"50","belem","hist",0.00605411906078931,0,0.0004496486877331,0.00329534308176582,0,0.000825188875482528
"51","belem","hist",0.000852841447931556,0,0.00568524371037873,0.00109543383152367,0,0.00142042593692267
"52","belem","hist",0.0133829932910684,0,0.0158862167464999,0.0216922769780091,0,0.00598882852676087
"53","belem","hist",0.0844310014848391,0,0.0248112878519927,0.0568078127793526,0,0.0597057727422062
"54","belem","hist",0.0660121848360009,0,0.0684598053286368,0.0350608333512333,0,0.0498642965923916
