"","ovlp_manaus_hist_rcp26","hv_manaus_dist_hist_rcp26","ovlp_manaus_hist_rcp60","hv_manaus_dist_hist_rcp60","ovlp_manaus_hist_rcp85","hv_manaus_dist_hist_rcp85"
"jaccard",0.709278213860388,0.0745251773493204,0.633585580938627,0.25723296686068,0.301798251373549,0.811473293689573
"sorensen",0.829915467369692,0.0745251773493204,0.775699281790405,0.25723296686068,0.463663629990463,0.811473293689573
"frac_unique_1",0.133700642791552,0.0745251773493204,0.0389523642116365,0.25723296686068,0.232782862109515,0.811473293689573
"frac_unique_2",0.20353541702307,0.0745251773493204,0.349715135529782,0.25723296686068,0.667780691837537,0.811473293689573
