"","ovlp_ita_hist_rcp26","hv_ita_dist_hist_rcp26","ovlp_ita_hist_rcp60","hv_ita_dist_hist_rcp60","ovlp_ita_hist_rcp85","hv_ita_dist_hist_rcp85"
"jaccard",0.732096906156595,0.0650999552261802,0.620870114377111,0.27829948099664,0.309787224379526,0.802370403838939
"sorensen",0.845330193194639,0.0650999552261802,0.766094838654863,0.27829948099664,0.473034426681446,0.802370403838939
"frac_unique_1",0.146405401827089,0.0650999552261802,0.0381614413391971,0.27829948099664,0.22573502909222,0.802370403838939
"frac_unique_2",0.162775716277072,0.0650999552261802,0.363449519754259,0.27829948099664,0.659455589113064,0.802370403838939
