"location","scenario","location_scenario","aleaf_s","awood_s","aroot_s","tleaf_s","twood_s","troot_s"
"belem","hist",belem_hist,0.053172545263848,0,0.105938144279277,0.062505907943256,0,0.027058619690678
"belem","hist",belem_hist,0.014711016654656,0,0.138752878167467,0.116911713350081,0,0.040188168490283
"belem","hist",belem_hist,0.014290496382746,0,0.012661987327109,0.012541367956485,0,0.007657970134441
"belem","hist",belem_hist,0.003646207449002,0,0.050691276160295,0.034827404443226,0,0.029989825223956
"belem","hist",belem_hist,0.052360003994425,0,0.013995857300517,0.046364848531805,0,0.009087136775025
"belem","hist",belem_hist,0.092503310360249,0,0.01237956360227,0.017570912391797,0,0.020741167945318
"belem","hist",belem_hist,0.020869584872352,0,0.016559177728272,0.012007324342414,0,0.002716821016658
"belem","hist",belem_hist,0.016818651051442,0,0.028113277559427,0.016761357913881,0,0.012303914238523
"belem","hist",belem_hist,0.05803292669264,0,0.044240683390239,0.030433428496641,0,0.015944759435214
"belem","hist",belem_hist,0.009962946207329,0,0.105454656381625,0.04211100082264,0,0.055301911394581
"belem","hist",belem_hist,0.009415551742558,0,0.00242025270558,0.006164156172082,0,0.005662568558885
"belem","hist",belem_hist,0.011803203312283,0,0.127506207218583,0.038462605642888,0,0.041411199987844
"belem","hist",belem_hist,0.027899170964378,0,0.049771904026369,0.036941798594137,0,0.012709207717364
"belem","hist",belem_hist,0.05111390371127,0,0.004865808608278,0.020930559332444,0,0.018725555974378
"belem","hist",belem_hist,0.031238410806233,0,0.020287955289859,0.021603449078614,0,0.019240017086391
"belem","hist",belem_hist,0.011422538845166,0,0.056779464518962,0.021092232317047,0,0.028836302018101
"belem","hist",belem_hist,0.131563111209387,0,0.063835214993101,0.098004055825717,0,0.037385878911968
"belem","hist",belem_hist,0.012556197515142,0,0.013997902845453,0.006563831409658,0,0.007119582298448
"belem","hist",belem_hist,0.007161010295306,0,0.013166419624883,0.009958143963923,0,0.003955999023714
"belem","hist",belem_hist,0.079605711402127,0,0.020462598561779,0.025684691077238,0,0.0058666608084
"belem","hist",belem_hist,0.074053688786568,0,0.041527913837847,0.020259245518231,0,0.01985272420404
"belem","hist",belem_hist,0.02808001537279,0,0.032983399840182,0.012656458325162,0,0.03567776032519
"belem","hist",belem_hist,0.155371726331371,0,0.02411080404578,0.022657808433805,0,0.077379579267952
"belem","hist",belem_hist,0.012652220098992,0,0.109269192167768,0.079654362925455,0,0.072850577234529
"belem","hist",belem_hist,0.044071584743311,0,0.002683546325794,0.006749522243458,0,0.005061959914633
"belem","hist",belem_hist,0.002351624521888,0,0.004805282466009,0.002928213849762,0,8.0094807612692E-05
"belem","hist",belem_hist,0.026362470940471,0,0.004419702087474,0.018534930250317,0,0.007915464021899
"belem","hist",belem_hist,0.157427520907049,0,0.049470504159041,0.034076967114129,0,0.012447197459433
"belem","hist",belem_hist,0.022482870742354,0,0.029374162437909,0.023134898364162,0,0.002759045009301
"belem","hist",belem_hist,0.030218244012555,0,0.059828408654861,0.068826277857445,0,0.015283940473235
"belem","hist",belem_hist,0.017914656299929,0,0.022067599556047,0.022990504429121,0,0.016073562150512
"belem","hist",belem_hist,0.132816530501686,0,0.006225683253919,0.021314463592414,0,0.008358747278455
"belem","hist",belem_hist,0.038429907899093,0,0.048358045972415,0.001738026958264,0,0.041125404563159
"belem","hist",belem_hist,0.015063051819613,0,0.02232996864815,0.005458358611987,0,0.011859846176582
"belem","hist",belem_hist,0.107344598002525,0,0.081832830127674,0.100913542173802,0,0.007370471863737
"belem","hist",belem_hist,0.016299073795921,0,0.050935897434574,0.015443592539785,0,0.03885688377454
"belem","hist",belem_hist,0.024977857277897,0,0.032284289406647,0.014106431658219,0,0.033241331339903
"belem","hist",belem_hist,0.031223894864966,0,0.155208516773511,0.042798537012406,0,0.082242446232557
"belem","hist",belem_hist,0.023527922200015,0,0.018116497777078,0.031115208353691,0,0.019787404406005
"belem","hist",belem_hist,0.004673855744764,0,0.00992543897009,0.008751446460215,0,0.003691798709101
"belem","hist",belem_hist,0.058683308335378,0,0.021098411806822,0.024720023024507,0,0.022805524440726
"belem","hist",belem_hist,0.006398364582287,0,0.015642124454017,0.013676465574826,0,0.004618491979516
"belem","hist",belem_hist,0.076968979608108,0,0.004686698320994,0.028118678787451,0,0.016156355261304
"belem","hist",belem_hist,0.006879103954317,0,0.005914029242834,0.006524543032592,0,0.00176666635137
"belem","hist",belem_hist,0.001124544228011,0,0.005187792118189,0.002447205305672,0,0.003745083473146
"belem","hist",belem_hist,0.001959606651388,0,0.00438564484808,0.003709089422387,0,0.000717947948353
"belem","hist",belem_hist,0.022519204061184,0,0.019359977552329,0.003866322269235,0,0.011075884338546
"belem","hist",belem_hist,0.004440782209398,0,0.001403877814431,0.003126373798513,0,0.001783281503858
"belem","hist",belem_hist,0.035288726346985,0,0.039136743522693,0.005892524705468,0,0.036400768699871
"belem","hist",belem_hist,0.006054119060789,0,0.000449648687733,0.003295343081766,0,0.000825188875483
"belem","hist",belem_hist,0.000852841447932,0,0.005685243710379,0.001095433831524,0,0.001420425936923
"belem","hist",belem_hist,0.013382993291068,0,0.0158862167465,0.021692276978009,0,0.005988828526761
"belem","hist",belem_hist,0.084431001484839,0,0.024811287851993,0.056807812779353,0,0.059705772742206
"belem","hist",belem_hist,0.066012184836001,0,0.068459805328637,0.035060833351233,0,0.049864296592392
"belem","hist",belem_hist,0.012675562952713,0,0.029533916043764,0.000604838197373,0,0.025100239582138
"belem","hist",belem_hist,0.00026902874724,0,0.000390014946047,0.000317826857128,0,0.000399174409779
